colonia_cumpliemiento,codigo_postal,alcaldia_cumplimiento,colonia_predio,Average of valor_unitario_suelo,Average of valor_suelo
MAGISTERIAL,14360,TLALPAN,MAGISTERIAL COAPA,3345.36,523075.9277
AGRICOLA ORIENTAL,8500,IZTACALCO,Agricola Ariental,3344.288871,87929.6
INDUSTRIAL PUERTO AEREO,15710,VENUSTIANO CARRANZA,INDUSTRIAL PUERTO AEREO,3343.929538,23263437.28
CULHUACAN CTM SECCION IX-A,4909,COYOACAN,C.t.m. Culhuacan,3343.915714,89864.73
AVANTE,4815,COYOACAN,Emiliano Zapata,3342.96,547933.9481
EMILIANO ZAPATA,4810,COYOACAN,Emilino Zapata,3342.96,43458.48
AVANTE,4610,COYOACAN,Xotepingo,3342.96,491415.12
AVANTE,4810,COYOACAN,AVANTE,3342.96,401472.7812
AVANTE,4810,COYOACAN,Emiliano Zapata,3342.96,501444
EMILIANO ZAPATA,0,COYOACAN,,3342.96,1775111.76
EMILIANO ZAPATA,4810,COYOACAN,Emilano Zapata,3342.96,40115.52
EMILIANO ZAPATA,4919,COYOACAN,Emiliano Zapata,3342.96,1778454.72
AVANTE,4815,COYOACAN,AVANTE,3342.96,448418.5763
INDUSTRIAL,7800,GUSTAVO A. MADERO,Iondustrial,3341.8,832736.8901
TEPEYAC INSURGENTES,7020,GUSTAVO A. MADERO,Lindavista,3341.459,1521263.46
HACIENDAS DE COYOACAN,4970,COYOACAN,Hdas de Coyoacan,3341.043,301402.2788
EX HACIENDA COAPA,14308,TLALPAN,Residencial Acoxpa,3340.664,926980.6829
EX EJIDO DE  SANTA URSULA COAPA,4850,COYOACAN,EX EJIDO STA URSULA COAPA,3339.3325,247148570.5
GRANJAS MEXICO,8400,IZTACALCO,Granjas,3338.27,696027.735
GRANJAS MEXICO,8400,IZTACALCO,Granjas Mex.,3338.27,233115.09
DR ALFONSO ORTIZ TIRADO,9020,IZTAPALAPA,Doctor Alfonso Ortiz Tirado,3337.23625,306761.9738
REAL DEL MORAL,9010,IZTAPALAPA,Fraccionamiento Real del Moral,3336.998462,233839.1308
EMILIO CARRANZA,15230,VENUSTIANO CARRANZA,Emilio Carranza,3336.009623,337039.5
FUENTES DEL PEDREGAL,10830,TLALPAN,La Concepcion,3335.7,959523.9525
CUADRANTE DE SAN FRANCISCO,4320,COYOACAN,BARRIO DE SAN FRANCISCO,3335.214444,1151623.681
CULHUACAN CTM SECCION IX-A,4909,COYOACAN,U H Ctm Culhuacan,3335.145,68748.99375
DR ALFONSO ORTIZ TIRADO,9020,IZTAPALAPA,Alfonso Ortiz Tirado,3333.633553,547229.8616
FELIPE PESCADOR,6280,CUAUHTEMOC,FELIPE PESCADOR,3332.37,149023.3604
FELIPE PESCADOR,6270,CUAUHTEMOC,FELIPE PESCADOR,3332.37,477363.6357
VALLE GOMEZ,6270,CUAUHTEMOC,,3332.37,543502.1417
VALLE GOMEZ,6280,CUAUHTEMOC,FELIPE PESCADOR,3332.37,673894.0772
FELIPE PESCADOR,0,CUAUHTEMOC,FELIPE PESCADOR,3332.37,6664.74
FELIPE PESCADOR,6250,CUAUHTEMOC,,3332.37,819763.02
FELIPE PESCADOR,6270,CUAUHTEMOC,Colonia Maza,3332.37,533179.2
FELIPE PESCADOR,6270,CUAUHTEMOC,Maza,3332.37,374635.2888
FELIPE PESCADOR,6280,CUAUHTEMOC,Colonia Felipe Pescador,3332.37,559838.16
FELIPE PESCADOR,6280,CUAUHTEMOC,F Pescador,3332.37,569868.5937
FELIPE PESCADOR,6280,CUAUHTEMOC,Maza,3332.37,816430.65
MAZA,6270,CUAUHTEMOC,M. Maza,3332.37,449869.95
VALLE GOMEZ,1,CUAUHTEMOC,Valle Gomez,3332.37,49985.55
VALLE GOMEZ,6240,CUAUHTEMOC,Valla Gomez,3332.37,49985.55
VALLE GOMEZ,6240,CUAUHTEMOC,Valle GÃ¯Â¿Â½mez,3332.37,47806.51891
VALLE GOMEZ,6240,CUAUHTEMOC,Valle Gomes,3332.37,53317.92
VALLE GOMEZ,6240,CUAUHTEMOC,Vell Gomez,3332.37,49985.55
VALLE GOMEZ,6270,CUAUHTEMOC,Batopilas,3332.37,46653.18
VALLE GOMEZ,6400,CUAUHTEMOC,Valle Gomez,3332.37,339901.74
FELIPE PESCADOR,6270,CUAUHTEMOC,Felipe Angeles,3332.37,181058.77
VALLE GOMEZ,6240,CUAUHTEMOC,Vallegomez,3332.37,755892.595
VALLE GOMEZ,6270,CUAUHTEMOC,Maza,3332.37,480442.0645
VALLE GOMEZ,6280,CUAUHTEMOC,,3332.37,586747.0478
VALLE GOMEZ,6280,CUAUHTEMOC,Maza,3332.37,49985.55
FELIPE PESCADOR,6280,CUAUHTEMOC,,3332.37,801862.4626
AMPLIACION PENITENCIARIA,15280,VENUSTIANO CARRANZA,Morelos,3330.410111,308489.2093
INDUSTRIAL,7800,GUSTAVO A. MADERO,Industrial,3330.075928,653797.27
PUEBLO DE SANTA URSULA COAPA,4650,COYOACAN,Sta Ursula Coapa,3329.805714,2427380.857
BOSQUES DE LAS LOMAS,5120,CUAJIMALPA DE MORELOS,Lomas de Vista Hermosa,3327.865,5824732.885
JARDIN BALBUENA,15850,VENUSTIANO CARRANZA,Magd. Mixhuca,3327.676667,66739.5
JARDIN BALBUENA,15940,VENUSTIANO CARRANZA,Magdalena Mixuca,3327.676667,99737.97
HACIENDAS DE COYOACAN,4970,COYOACAN,Haciendas de Coyoacan,3326.796,641175.2413
REAL DEL MORAL,9010,IZTAPALAPA,Sur Real del Moral,3326.348,154037.944
SANTA ANITA,8300,IZTACALCO,Colonia Santa Anita,3325.406667,359096.8233
CULHUACAN CTM SECCION IX-A,4909,COYOACAN,Ctm Culhuacan,3322.866,73332.195
DR ALFONSO ORTIZ TIRADO,9020,IZTAPALAPA,Dr. Ortiz Tirado,3322.609444,540366.5217
BARRIO SAN LUCAS,9820,IZTAPALAPA,Bo. San Lucas,3322.173333,129656.5933
BARRIO SAN PABLO,9000,IZTAPALAPA,Bo San Lucas,3322.173333,15467649.77
CAFETALES,4960,COYOACAN,Cafetales,3322.145,570722.085
VILLA QUIETUD,4960,COYOACAN,Villa Quietud Coyoacan,3322.145,368880.44
MAGDALENA DE LAS SALINAS,7760,GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS,3320.229415,18101792.77
JARDIN BALBUENA,15850,VENUSTIANO CARRANZA,Magdalena Mixhuca,3320.014624,308936.2406
TENORIOS,14324,TLALPAN,EX HACIENDA COAPA,3319.08,1208327.589
EL MOLINO,5200,CUAJIMALPA DE MORELOS,El Molinito,3318.97625,602424.9388
PLANETARIO LINDAVISTA,7300,GUSTAVO A. MADERO,SAN BARTOLO ATEPEHUACAN,3318.85,623987.2003
PLANETARIO LINDAVISTA,7739,GUSTAVO A. MADERO,PLANETARIO LINDAVISTA,3318.85,704151.8703
PLANETARIO LINDAVISTA,0,GUSTAVO A. MADERO,,3318.85,673726.55
PLANETARIO LINDAVISTA,6000,GUSTAVO A. MADERO,,3318.85,567523.35
PLANETARIO LINDAVISTA,7300,GUSTAVO A. MADERO,Linda Vista,3318.85,298696.5
PLANETARIO LINDAVISTA,7300,GUSTAVO A. MADERO,Planetario,3318.85,441407.05
PLANETARIO LINDAVISTA,7300,GUSTAVO A. MADERO,San Bartoloatepehuacan,3318.85,
PLANETARIO LINDAVISTA,7300,GUSTAVO A. MADERO,Ticoman,3318.85,2668355.4
PLANETARIO LINDAVISTA,7330,GUSTAVO A. MADERO,PLANETARIO LINDAVISTA,3318.85,1085263.95
PLANETARIO LINDAVISTA,7300,GUSTAVO A. MADERO,Sn Bartolo Atepehuacan,3318.85,2243902.932
PLANETARIO LINDAVISTA,7730,GUSTAVO A. MADERO,,3318.85,809562.9319
CULHUACAN CTM SECCION IX-A,4480,COYOACAN,Ctm Culhuacan,3318.400909,80846.93045
SANTA CRUZ AVIACION,15540,VENUSTIANO CARRANZA,Sta Cruz Aviacion,3316.699375,714003.3177
COPILCO EL ALTO,4360,COYOACAN,Pueblo Copilco El Alto,3315.945082,777385.0618
MORELOS,15270,VENUSTIANO CARRANZA,,3314.465774,991807.7712
GRANJAS COAPA,14330,TLALPAN,Ex-Hacienda Coapa,3314.106667,74833.01833
CUADRANTE DE SAN FRANCISCO,4320,COYOACAN,'-,3311.601151,475624.4472
CUADRANTE DE SAN FRANCISCO,4320,COYOACAN,Cuadrante San Francisco,3311.238571,873617.0943
RESIDENCIAL ACOXPA,14350,TLALPAN,Residencial Acoxpa,3310.445455,705662.4121
ARENAL DE GUADALUPE,14377,TLALPAN,ARENAL DE GUADALUPE,3306.24,169004384.5
ARENAL DE GUADALUPE,14370,TLALPAN,Hacienda de San Juan,3306.24,72737.28
GUADALUPE,14370,TLALPAN,San Lorenzo Huipulco,3306.24,38998224.92
GUADALUPE,14380,TLALPAN,,3306.24,
GUADALUPE,14610,TLALPAN,Arenal Tepepan,3306.24,16270337.66
GUADALUPE,14610,TLALPAN,EX. Ejidos De Huipulco,3306.24,793497.6
GUADALUPE,14610,TLALPAN,Guadalupe Arenal,3306.24,1441520.64
ERMITA TIZAPAN,1090,ALVARO OBREGON,ERMITA TIZAPAN,3305.83,584603.2673
SAN BARTOLO ATEPEHUACAN,7730,GUSTAVO A. MADERO,'-,3304.666667,500790.8313
TLALPAN CENTRO,14090,TLALPAN,La Joya,3303.9475,1101775.714
REAL DEL MORAL,9010,IZTAPALAPA,U Hab Real del Moral,3300.3875,198626.8675
COPILCO EL ALTO,4340,COYOACAN,Copilco Universidad,3298.7,911397.823
COPILCO EL ALTO,0,COYOACAN,Pedregal de Sto Domingo,3298.7,903843.8
COPILCO EL ALTO,0,COYOACAN,Santo Domingo De Los Reyes,3298.7,385948
COPILCO EL ALTO,4310,COYOACAN,Romero de Tereros,3298.7,511298.5
COPILCO EL ALTO,4310,COYOACAN,Romero de Terreros (frac. Copilco-univ,3298.7,950025.6
COPILCO EL ALTO,4320,COYOACAN,CUADRANTE DE SAN FRANCISCO,3298.7,1857168.1
COPILCO EL ALTO,4360,COYOACAN,,3298.7,1131104.438
COPILCO EL ALTO,4360,COYOACAN,Capilco El Alto,3298.7,735610.1
COPILCO EL ALTO,4360,COYOACAN,Colonia Copilco Universidad,3298.7,907142.5
COPILCO EL ALTO,4360,COYOACAN,Copilco del Bajo,3298.7,725714
COPILCO EL ALTO,4360,COYOACAN,Copilco-universidad,3298.7,389362.0545
COPILCO EL ALTO,4360,COYOACAN,Copileo El Alto,3298.7,531090.7
COPILCO EL ALTO,4360,COYOACAN,Frac Eomero de Terreros,3298.7,1194129.4
COPILCO EL ALTO,4360,COYOACAN,Fracc Copilco Universidad,3298.7,1034604.268
COPILCO EL ALTO,4360,COYOACAN,Fracto Copilco Universidad,3298.7,458519.3
COPILCO EL ALTO,4360,COYOACAN,Pbo. de Copilco El Alto,3298.7,273792.1
COPILCO EL ALTO,4360,COYOACAN,Pedregal de Santa Ursula,3298.7,857662
COPILCO EL ALTO,4360,COYOACAN,Pedregal de Santo Domingo los Reyes,3298.7,1019298.3
COPILCO EL ALTO,4360,COYOACAN,Romero de Terrenos,3298.7,511298.5
COPILCO EL ALTO,4360,COYOACAN,San Pablo Tepetlapa,3298.7,333168.7
COPILCO EL ALTO,4360,COYOACAN,Santa Ursula Coapa,3298.7,405740.1
COPILCO EL ALTO,4360,COYOACAN,Santo Dimingo los Reyes,3298.7,527792
COPILCO EL ALTO,4360,COYOACAN,Santo Domingo delos Reyes,3298.7,619726.769
COPILCO EL ALTO,4360,COYOACAN,Sto Domingo los Reyes,3298.7,498837.6608
COPILCO EL ALTO,4369,COYOACAN,Santo Domingo Coyoacan,3298.7,418934.9
COPILCO EL ALTO,4369,COYOACAN,Sto Dimingo los Reyes,3298.7,705921.8
COPILCO EL ALTO,4369,COYOACAN,Sto Domingo de los Reyes,3298.7,488207.6
COPILCO EL ALTO,4510,COYOACAN,Pbo. de Copilco,3298.7,146792.15
COPILCO EL ALTO,4630,COYOACAN,Pedregal de Carraco,3298.7,39584.4
COPILCO EL ALTO,4960,COYOACAN,Sto Dominho los Reyes,3298.7,484908.9
COPILCO EL ALTO,4000,COYOACAN,Santo Domingo De Los Reyes,3298.7,422234
COPILCO EL ALTO,4310,COYOACAN,Copilco Universidad,3298.7,342047.7008
COPILCO EL ALTO,4360,COYOACAN,Pbo. Copilco El Alto,3298.7,580571.2
COPILCO EL ALTO,4360,COYOACAN,Romero de Terreros,3298.7,808800.0063
COPILCO EL ALTO,4360,COYOACAN,Santo Domingo los Reyes,3298.7,509099.3667
COPILCO EL ALTO,0,COYOACAN,Copilco El Alto,3298.7,781309.1634
COPILCO EL ALTO,4310,COYOACAN,Romero de Terreros,3298.7,1158091.103
COPILCO EL ALTO,4360,COYOACAN,Copilco Universidad,3298.7,603115.8741
MOCTEZUMA 1A SECCION,15500,VENUSTIANO CARRANZA,Moctezuma Primera Seccion,3296.83,1144002.923
PRADO CHURUBUSCO,4230,COYOACAN,Colonia Prado Churubusco,3296.21125,72794.60625
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Cooperativa Palo Alto,3294.677742,1176816.733
LOS SAUCES,4940,COYOACAN,,3292.46767,644578.9615
SAN BARTOLO ATEPEHUACAN,7730,GUSTAVO A. MADERO,,3292.233171,707290.9368
GUADALUPE VICTORIA,7720,GUSTAVO A. MADERO,DEFENSORES DE LA REPUBLICA,3289.75,14300543.25
GUADALUPE VICTORIA,7790,GUSTAVO A. MADERO,GUALALUPE VICTORIA,3289.75,77139.93786
HEROE DE NACOZARI,7790,GUSTAVO A. MADERO,Colonia Guadalupe Victoria,3289.75,42766.75
A M S A,14380,TLALPAN,A.m.s.a.,3288.51,255946.9256
A M S A,14090,TLALPAN,,3288.51,246960.524
A M S A,14300,TLALPAN,Amsa,3288.51,225854.8668
A M S A,14380,TLALPAN,A. M. S. A.,3288.51,289388.88
A M S A,14380,TLALPAN,A.m.s.a,3288.51,289388.88
A M S A,14380,TLALPAN,Amsa,3288.51,549437.9537
A M S A,14380,TLALPAN,Amsa Tlalpan,3288.51,370505.46
A M S A,14380,TLALPAN,Amsa Villa Coapa,3288.51,177579.54
A M S A,14380,TLALPAN,Ex Ejido de Huipulco,3288.51,2496702.562
A M S A,14380,TLALPAN,,3288.51,273551.6214
AMPLIACION PENITENCIARIA,15280,VENUSTIANO CARRANZA,Ampl Penitenciaria,3288.115658,566758.7417
PROGRESO TIZAPAN,1080,ALVARO OBREGON,Colonia Progreso,3287.225,627708.5104
LOMAS ESTRELLA,9850,IZTAPALAPA,Ex Hda Sn Nicolas Tolentino,3286.043741,49966.10129
RESIDENCIAL ACOXPA,14300,TLALPAN,Residencial Miramontes Coapa,3285.263333,733169.1223
AMPLIACION PENITENCIARIA,15270,VENUSTIANO CARRANZA,Morelos,3278.787111,398482.8482
BOSQUES DE LAS LOMAS,5100,CUAJIMALPA DE MORELOS,Palo Alto Cuajimalpa,3277.95,65772067
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Coop. Palo Alto,3277.95,364580.8833
BOSQUES DE LAS LOMAS,5110,CUAJIMALPA DE MORELOS,Coop. Palo Alto,3277.95,3953207.7
BOSQUES DE LAS LOMAS,5110,CUAJIMALPA DE MORELOS,Granjas Palo Alto,3277.95,1750425.3
COOPERATIVA PALO ALTO,5000,CUAJIMALPA DE MORELOS,Lomas del Chamizal,3277.95,655590
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,,3277.95,399909.9
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Coop Palo Alto,3277.95,352379.625
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Cooperativa de Vivienda de Palo Alto,3277.95,354018.6
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Cooperativa de Vivienda Palo Alto,3277.95,358935.525
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Cooperativa Vivienda Palo Alto,3277.95,354018.6
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Coopertiva Palo Alto,3277.95,357296.55
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Coopetativa Palo Alto,3277.95,354018.6
COOPERATIVA PALO ALTO,5270,CUAJIMALPA DE MORELOS,Lomas del Chamizal,3277.95,655590
COOPERATIVA PALO ALTO,5810,CUAJIMALPA DE MORELOS,Cooperativa de Vivienda Palo Alto,3277.95,398270.925
GRANJAS PALO ALTO,5110,CUAJIMALPA DE MORELOS,Cooperativa Palo Alto,3277.95,229456.5
COOPERATIVA PALO ALTO,5110,CUAJIMALPA DE MORELOS,Cooperativa de Palo Alto,3277.95,359765.939
BOSQUES DE LAS LOMAS,5110,CUAJIMALPA DE MORELOS,Bosque de la Lomas,3277.95,196677
TLACAMACA,7380,GUSTAVO A. MADERO,Tlamaca,3276.912,4981743.61
ALBERT,3570,BENITO JUAREZ,Albert,3276.418889,1896494.776
SAN JUAN TEPEPAN,16010,XOCHIMILCO,San Juan Tepepan,3273.8,469111.226
CARMEN SERDAN,4850,COYOACAN,,3273.75,295095.825
CARMEN SERDAN,4850,COYOACAN,Carmen Cerdan,3273.75,299548.125
CARMEN SERDAN,4850,COYOACAN,Carmen Sercan,3273.75,327375
CARMEN SERDAN,4850,COYOACAN,Carmen Serdan,3273.75,333778.0552
CARMEN SERDAN,4850,COYOACAN,Carmne Serdan,3273.75,327375
CARMEN SERDAN,4899,COYOACAN,El Parque,3273.75,88391.25
CARMEN SERDAN,4910,COYOACAN,,3273.75,305435.6849
CARMEN SERDAN,4910,COYOACAN,Carmen Cerdan,3273.75,302276.25
CARMEN SERDAN,4910,COYOACAN,Carmen Seran,3273.75,294637.5
CARMEN SERDAN,4910,COYOACAN,Carmen SerdÃ¯Â¿Â½n,3273.75,302821.875
CARMEN SERDAN,4910,COYOACAN,Carmen Serdan,3273.75,324585.8258
CARMEN SERDAN,4910,COYOACAN,Colonia Carmen Serdan,3273.75,291363.75
CARMEN SERDAN,4910,COYOACAN,Prados de Coyoacan,3273.75,294221.7338
CARMEN SERDAN,4919,COYOACAN,Carmen Serdan,3273.75,371832.525
CARMEN SERDAN,4938,COYOACAN,,3273.75,523800
CARMEN SERDAN,4938,COYOACAN,Fraccionamiento Campestre Coyoacan,3273.75,523800
CARMEN SERDAN,9800,COYOACAN,Culhuacan,3273.75,62201.25
CULHUACAN CTM CANAL NACIONAL,4420,COYOACAN,,3273.75,
CULHUACAN CTM CANAL NACIONAL,4420,COYOACAN,Unidad Ctm Culhuacan,3273.75,228071.25
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,7a Seccion C.t.m. Culhuacan,3273.75,216067.5
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,Ctm Culhuacan,3273.75,147318.75
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,San Francisco Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,U Hab Ctm Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,U. Hab. C.t.m. Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,U. Hab. Ctm San Francisco Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,U. Hab. Ctm. Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4430,COYOACAN,Unidad Ctm Culhuacan,3273.75,139413.25
CULHUACAN CTM CANAL NACIONAL,4440,COYOACAN,Unidad Ctm Culhuacan,3273.75,441956.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,C T M 7 Culhuacan,3273.75,441956.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,C T M Culhuacan,3273.75,441956.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,C.t.m. Culhuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,C.t.m. Culhuacan Secc. Vii,3273.75,245531.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,C.t.m. Culhuacan Viii,3273.75,219341.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Ctm Culhuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,CTM CULHUACAN VII,3273.75,445230
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Ctm Culhuacan Vii a,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Culhuacan Ctm,3273.75,148955.625
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Culhuacan Ctm Vii a,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Culhuacan Ocho a C T M,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Obrero Culhuacan C.t.m. Secc.vii,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,U H Ctm Culhuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,U H Ctm Culhuacan Vii,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,U H Culhuacan,3273.75,219341.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,U Hab Ctm Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,U Habitacional Ctm Vii,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,U. Hab 7a Secc. a Ctm Culhuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,U.h. Culhuacan Vii-a Ctm,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unidad C T M Vii a Culhuacan,3273.75,294637.5
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unidad C. T. M. Vii-a Culhuacan,3273.75,297911.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unidad C.t.m. Culhuacan,3273.75,150592.5
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unidad C.t.m. Culhuacan Seccion 7 a,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unidad C.t.m. Culhuacan Vii,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unidad Habitacional  CTM Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unidad Infonavit,3273.75,202972.5
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unidad Vii-a Culhuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Unudad Ctm Culhuacan,3273.75,216067.5
CULHUACAN CTM CANAL NACIONAL,4480,COYOACAN,Zona 13 Culhuacan,3273.75,225888.75
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,C T M Culhuacan,3273.75,225124.875
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,C T M Culjuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,C.t.m Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,C.t.m. Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,C.t.m. Culhuacan Vii,3273.75,219341.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,C.t.m. Culhuacan Zona 13 a,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Ctm Cuhuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Ctm Culhuacan,3273.75,216254.5714
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Ctm Culhuacan Infonavit,3273.75,225888.75
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Ctm Culhuacan Vii a,3273.75,225888.75
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Ctm Culhuacan Vii Zona 13-a,3273.75,448503.75
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Ctm Vii a Culhuacan,3273.75,219341.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Culhuacan,3273.75,219341.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Culhuacan Ctm Vii,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Culhuacan Vii C T M,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Culhuacan Vii Ctm,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Obrero Culhuacan C.t.m. Secc.7,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,San Fco. Culhuacan Zona 13 a,3273.75,353565
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,San Francisco Culhuacan,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U H Ctm Culhuacan,3273.75,101486.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U H Ctm Culhuacan Vii,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U H Ctm Culhuacan Vii a,3273.75,283179.375
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U H Ctm Culhuacan Zona 4,3273.75,219341.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U H Ctm Culhuacanvii,3273.75,75296.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U H Culhuacan Ctm Obrero Seccion 7,3273.75,225888.75
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U Hab Ctm Culhuacan,3273.75,111782193.8
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U.h. Ct. Culhuacan Secc Vii,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,U.H. CTM CULHUACAN,3273.75,229162.5
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Unidad Ctm 7-a Culhuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Unidad Culhuacan Vii Ctm,3273.75,219341.25
CULHUACAN CTM CANAL NACIONAL,4489,COYOACAN,Unidad Habitacional Culhuacan Ctm Obrero Seccion 7,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4490,COYOACAN,,3273.75,231126.75
CULHUACAN CTM CANAL NACIONAL,4490,COYOACAN,C T M Culhuacan,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4490,COYOACAN,C.t.m. Culhuacan Vii-a,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4490,COYOACAN,Culhuacan Piloto 5,3273.75,222615
CULHUACAN CTM CANAL NACIONAL,4490,COYOACAN,Unidad Ctm 7-a Culhuacan,3273.75,222615
CULHUACAN CTM CROC,4430,COYOACAN,Culhuacan,3273.75,72022.5
CULHUACAN CTM CROC,4440,COYOACAN,Culhuacan Croc,3273.75,58927.5
CULHUACAN CTM CROC,4440,COYOACAN,CULHUACAN CTM CROC,3273.75,293803.0401
CULHUACAN CTM CROC,4480,COYOACAN,C. Hab. Culhuacan,3273.75,55653.75
CULHUACAN CTM CROC,4480,COYOACAN,C.t.m. Culhuacan,3273.75,65475
CULHUACAN CTM CROC,4480,COYOACAN,C.t.m.culhuacan Zona 6,3273.75,72022.5
CULHUACAN CTM CROC,4480,COYOACAN,Croc Culhuacan Zona 6,3273.75,58927.5
CULHUACAN CTM CROC,4480,COYOACAN,CTM CULHUACAN CROC,3273.75,58927.5
